学生ID,姓名,风险等级,风险概率,行为模式,风险因素
S0730,郭芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0443,吴军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0807,张娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0732,周磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0447,王伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0440,郭静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0881,周伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0467,吴丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0792,赵杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0488,李勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0783,张明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0490,张伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0491,周磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0492,徐磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0493,马娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0736,张娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0495,周娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0498,马杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0499,孙明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0501,林艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0779,郭娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0503,郭娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0778,刘超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0497,赵杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0468,刘静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0596,马芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0484,杨平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0601,陈勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0471,张超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0472,孙杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0473,马娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0734,杨娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0475,吴超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0485,陈娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0599,徐静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0787,赵霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0479,高明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0480,孙杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0481,王娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0482,林军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0735,黄伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0598,陈勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0286,胡敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0879,何芳,高风险,1.0,高风险行为,"挂科门数过多, 平均成绩过低, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0882,马芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0108,朱磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0680,吴杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0106,徐伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0105,胡娟,高风险,1.0,高风险行为,"挂科门数过多, 平均成绩过低, 出勤率过低, 缺勤次数过多"
S0104,徐杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0103,黄娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0102,赵娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0101,赵艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0100,徐洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0099,王丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0961,孙娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0962,杨艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0681,吴敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0964,高军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0094,徐勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0093,吴娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0682,刘静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0078,胡丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0079,高芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0080,杨勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0081,杨超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0082,周芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0083,黄敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0109,高娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0969,赵磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0968,林霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0967,马秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0088,吴伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0089,刘杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0702,胡军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0091,高超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0085,高明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0970,吴娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0959,李丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0112,朱霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0145,刘敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0144,马芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0143,杨超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0285,赵伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0673,吴秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0140,马超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0943,徐明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0137,朱强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0945,罗秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0946,何洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0134,马涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0133,杨丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0132,马伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0676,马洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0949,周丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0128,罗艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0127,孙静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0958,马丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0679,陈静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0678,孙涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0116,孙超,高风险,1.0,高风险行为,"挂科门数过多, 缺勤次数过多, 选课数量过多"
S0117,罗强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0118,王秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0111,刘霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0677,孙磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0953,陈杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0122,林伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0952,周伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0951,高丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0125,林强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0950,高磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0954,朱涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0971,孙娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0075,杨芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0972,刘芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0987,林勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0033,罗敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0988,朱芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0689,徐洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0030,胡静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0029,张娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0028,杨霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0027,陈洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0026,刘磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0025,杨艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0024,徐磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0023,黄艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0991,林霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0992,张强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0019,陈敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0993,何涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0017,高平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0002,林军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0003,赵强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0998,何勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0996,周涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0007,林磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0008,陈涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0035,何勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0009,黄娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0995,高娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0691,杨涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0013,马艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0014,罗艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0015,林秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0016,王丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0010,吴敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0036,孙芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0986,马洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0038,杨洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0060,张敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0061,高勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0062,孙芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0977,徐霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0064,罗洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0065,刘伟,高风险,1.0,中等风险行为,"挂科门数过多, 缺勤次数过多"
S0059,徐磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0066,胡磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0976,罗平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0069,周超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0684,朱勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0974,李强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0072,吴平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0973,林敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0067,赵洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0940,罗丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0057,孙军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0055,王娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0039,赵磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0040,陈涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0042,郭丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0984,吴敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0044,朱涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0983,张强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0056,杨娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0046,朱娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0049,黄明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0980,刘丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0051,刘芳,高风险,1.0,高风险行为,"挂科门数过多, 缺勤次数过多, 选课数量过多"
S0979,李秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0053,罗芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0054,胡丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0699,何伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0705,周伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0941,周明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0938,吴静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0897,何勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0898,黄超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0245,朱芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0244,陈丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0243,王娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0242,黄涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0241,林强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0899,朱强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0652,朱磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0238,林敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0237,何明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0653,徐娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0235,陈霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0654,胡磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0651,朱杰,高风险,1.0,高风险行为,"挂科门数过多, 平均成绩过低, 出勤率过低, 缺勤次数过多"
S0714,高强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0231,孙磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0906,何静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0228,何静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0227,何敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0658,孙明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0909,李超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0910,何磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0222,郭静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0911,赵强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0220,李娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0219,马秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0912,马娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0148,高超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0661,马明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0656,高秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0249,王丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0650,郭勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0251,杨强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0283,徐洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0282,张勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0883,马洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0280,王洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0884,李洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0278,李芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0277,刘伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0276,王娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0275,罗艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0274,孙娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0273,张秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0272,黄洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0270,赵明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0886,郭涛,高风险,1.0,高风险行为,"挂科门数过多, 缺勤次数过多, 选课数量过多"
S0716,刘杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0267,王芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0266,黄敏,高风险,1.0,高风险行为,"挂科门数过多, 缺勤次数过多, 选课数量过多"
S0894,赵静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0649,张伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0892,李洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0715,李洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0647,周平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
